frame_idx,obj_id,tip_x,tip_y,base_x,base_y
294,1,825.0,456.0,1599.0,988.0
294,2,915.0,541.0,142.0,17.0
295,1,826.0,456.0,1599.0,992.0
295,2,915.0,537.0,145.0,16.0
296,1,834.0,456.0,1599.0,994.0
296,2,915.0,531.0,153.0,13.0
297,1,821.0,484.0,1599.0,995.0
297,2,915.0,524.0,153.0,11.0
298,1,821.0,483.0,1599.0,996.0
298,2,913.0,522.0,156.0,11.0
299,1,841.0,460.0,1599.0,996.0
299,2,908.0,525.0,153.0,10.0
300,1,840.0,461.0,1599.0,995.0
300,2,904.0,526.0,157.0,8.0
301,1,840.0,461.0,1599.0,995.0
301,2,903.0,524.0,156.0,10.0
302,1,840.0,461.0,1599.0,996.0
302,2,902.0,522.0,156.0,10.0
303,1,840.0,461.0,1599.0,997.0
303,2,901.0,522.0,152.0,7.0
304,1,840.0,461.0,1599.0,997.0
304,2,901.0,522.0,149.0,6.0
305,1,839.0,461.0,1599.0,997.0
305,2,901.0,521.0,153.0,7.0
306,1,838.0,460.0,1599.0,995.0
306,2,900.0,523.0,152.0,7.0
307,1,834.0,457.0,1599.0,991.0
307,2,900.0,522.0,154.0,10.0
308,1,834.0,455.0,1599.0,988.0
308,2,900.0,522.0,151.0,6.0
309,1,836.0,452.0,1599.0,985.0
309,2,899.0,521.0,147.0,4.0
310,1,838.0,451.0,1599.0,979.0
310,2,898.0,521.0,149.0,5.0
311,1,842.0,448.0,1599.0,971.0
311,2,898.0,522.0,150.0,7.0
312,1,847.0,444.0,1599.0,967.0
312,2,898.0,523.0,150.0,7.0
313,1,852.0,440.0,1599.0,963.0
313,2,896.0,527.0,149.0,11.0
314,1,859.0,433.0,1599.0,957.0
314,2,897.0,527.0,148.0,11.0
315,1,865.0,428.0,1599.0,949.0
315,2,895.0,531.0,146.0,11.0
316,1,870.0,424.0,1599.0,942.0
316,2,897.0,529.0,147.0,11.0
317,1,876.0,418.0,1599.0,938.0
317,2,897.0,530.0,145.0,11.0
318,1,877.0,418.0,1599.0,934.0
318,2,897.0,531.0,146.0,11.0
319,1,879.0,416.0,1599.0,930.0
319,2,899.0,529.0,150.0,12.0
320,1,880.0,415.0,1599.0,929.0
320,2,897.0,532.0,147.0,10.0
321,1,881.0,414.0,1599.0,928.0
321,2,897.0,532.0,148.0,12.0
322,1,879.0,417.0,1599.0,929.0
322,2,897.0,531.0,145.0,11.0
323,1,878.0,419.0,1599.0,932.0
323,2,898.0,529.0,149.0,12.0
324,1,875.0,422.0,1599.0,934.0
324,2,897.0,530.0,147.0,11.0
325,1,873.0,424.0,1599.0,939.0
325,2,897.0,530.0,149.0,12.0
326,1,869.0,428.0,1599.0,941.0
326,2,898.0,528.0,151.0,12.0
327,1,867.0,429.0,1599.0,945.0
327,2,898.0,527.0,149.0,11.0
328,1,866.0,429.0,1599.0,948.0
328,2,898.0,527.0,148.0,10.0
329,1,862.0,433.0,1599.0,953.0
329,2,898.0,526.0,147.0,7.0
330,1,860.0,434.0,1599.0,956.0
330,2,898.0,525.0,150.0,7.0
331,1,858.0,435.0,1599.0,963.0
331,2,899.0,523.0,152.0,7.0
332,1,852.0,442.0,1599.0,966.0
332,2,900.0,519.0,153.0,7.0
333,1,846.0,447.0,1599.0,975.0
333,2,900.0,515.0,161.0,7.0
334,1,842.0,452.0,1599.0,981.0
